run_name,ratios,factors,nw_thesis,nw_proposed,reduction,multi_depth,n_weight_types,same_tree_mult,cross_tree_mult,improved,status_thesis,status_proposed
run_1,"[18, 11, 43];[12, 43, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_2,"[30, 35, 7];[29, 29, 14]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_3,"[21, 34, 17];[12, 37, 23]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_4,"[34, 11, 27];[6, 53, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_5,"[11, 60, 1];[38, 9, 25]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_6,"[11, 27, 34];[13, 17, 42]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_7,"[47, 12, 13];[27, 19, 26]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,FEASIBLE
run_8,"[22, 47, 3];[21, 11, 40]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_9,"[29, 6, 37];[5, 25, 42]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_10,"[9, 26, 37];[28, 13, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",2,3,-1,0,2,3,3,0,OPTIMAL,FEASIBLE
run_11,"[51, 8, 13];[19, 15, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_12,"[34, 35, 3];[52, 3, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_13,"[7, 8, 57];[20, 1, 51]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_14,"[49, 1, 22];[33, 38, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",5,5,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_15,"[35, 34, 3];[15, 29, 28]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_16,"[21, 38, 13];[1, 33, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_17,"[39, 26, 7];[1, 41, 30]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_18,"[15, 32, 25];[31, 9, 32]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,FEASIBLE
run_19,"[11, 52, 9];[17, 44, 11]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_20,"[55, 13, 4];[57, 10, 5]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_21,"[29, 3, 40];[9, 35, 28]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_22,"[1, 28, 43];[5, 38, 29]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_23,"[17, 44, 11];[32, 29, 11]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_24,"[13, 43, 16];[46, 9, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_25,"[7, 6, 59];[25, 7, 40]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_26,"[18, 37, 17];[10, 47, 15]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_27,"[12, 19, 41];[22, 31, 19]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_28,"[1, 48, 23];[37, 22, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_29,"[20, 5, 47];[8, 33, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,5,0,OPTIMAL,FEASIBLE
run_30,"[62, 3, 7];[21, 47, 4]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_31,"[9, 22, 41];[11, 43, 18]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_32,"[27, 14, 31];[31, 3, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_33,"[39, 20, 13];[10, 31, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,FEASIBLE
run_34,"[10, 3, 59];[28, 41, 3]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_35,"[21, 16, 35];[57, 13, 2]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_36,"[39, 32, 1];[15, 19, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_37,"[35, 2, 35];[27, 17, 28]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_38,"[63, 2, 7];[7, 26, 39]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_39,"[1, 42, 29];[17, 17, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_40,"[55, 16, 1];[2, 13, 57]","[4, 3, 3, 2];[4, 3, 3, 2]",6,6,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_41,"[5, 65, 2];[48, 23, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_42,"[6, 11, 55];[40, 7, 25]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_43,"[27, 5, 40];[20, 33, 19]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_44,"[23, 30, 19];[4, 19, 49]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_45,"[32, 3, 37];[14, 7, 51]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_46,"[29, 32, 11];[26, 33, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_47,"[29, 1, 42];[4, 21, 47]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_48,"[43, 26, 3];[4, 11, 57]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_49,"[5, 29, 38];[41, 4, 27]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_50,"[25, 25, 22];[1, 55, 16]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_51,"[9, 47, 16];[41, 2, 29]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_52,"[40, 25, 7];[42, 11, 19]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_53,"[17, 54, 1];[25, 29, 18]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_54,"[39, 13, 20];[1, 70, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",5,5,0,0,2,2,2,0,OPTIMAL,OPTIMAL
