run_name,ratios,factors,MTWM_nolimit_nw,MTWM_nolimit_ops,MTWM_nolimit_nr,MTWM_nolimit_time,MTWM_nolimit_status,thesis_nolimit_nw,thesis_nolimit_ops,thesis_nolimit_nr,thesis_nolimit_time,thesis_nolimit_status,proposed_nolimit_nw,proposed_nolimit_ops,proposed_nolimit_nr,proposed_nolimit_time,proposed_nolimit_status,MTWM_limit1_nw,MTWM_limit1_ops,MTWM_limit1_nr,MTWM_limit1_time,MTWM_limit1_status,thesis_limit1_nw,thesis_limit1_ops,thesis_limit1_nr,thesis_limit1_time,thesis_limit1_status,proposed_limit1_nw,proposed_limit1_ops,proposed_limit1_nr,proposed_limit1_time,proposed_limit1_status
run_1,"[15, 1, 38];[7, 37, 10]","[3, 3, 3, 2];[3, 3, 3, 2]",5,8,11,0.04,OPTIMAL,4,10,10,0.05,OPTIMAL,4,8,10,0.28,OPTIMAL,5,8,11,0.03,OPTIMAL,4,9,10,0.03,OPTIMAL,4,9,10,0.15,OPTIMAL
run_2,"[2, 1, 51];[30, 35, 7]","[3, 3, 3, 2];[4, 3, 3, 2]",5,8,12,0.05,OPTIMAL,5,8,12,0.12,OPTIMAL,5,8,12,2.96,OPTIMAL,6,9,13,0.04,OPTIMAL,6,9,13,0.12,OPTIMAL,6,9,13,1.41,OPTIMAL
run_3,"[35, 10, 9];[29, 9, 16]","[3, 3, 3, 2];[3, 3, 3, 2]",3,8,9,1.47,OPTIMAL,3,8,9,6.62,OPTIMAL,3,8,9,601.41,FEASIBLE,4,10,10,1.62,OPTIMAL,4,11,10,15.81,OPTIMAL,4,12,10,600.59,FEASIBLE
run_4,"[21, 34, 17];[22, 27, 5]","[4, 3, 3, 2];[3, 3, 3, 2]",3,8,10,4.66,OPTIMAL,3,11,10,55.66,OPTIMAL,3,11,10,600.50,FEASIBLE,3,10,10,0.54,OPTIMAL,3,11,10,4.76,OPTIMAL,3,10,10,31.81,OPTIMAL
run_5,"[7, 18, 29];[23, 16, 15]","[3, 3, 3, 2];[3, 3, 3, 2]",2,8,8,0.12,OPTIMAL,2,7,8,0.34,OPTIMAL,2,9,8,120.48,OPTIMAL,4,9,10,0.24,OPTIMAL,4,12,10,2.30,OPTIMAL,3,10,9,21.20,OPTIMAL
run_6,"[59, 10, 3];[8, 17, 29]","[4, 3, 3, 2];[3, 3, 3, 2]",4,8,11,0.61,OPTIMAL,4,8,11,2.70,OPTIMAL,4,8,11,184.78,OPTIMAL,5,8,12,0.17,OPTIMAL,5,12,12,1.25,OPTIMAL,5,13,12,17.53,OPTIMAL
run_7,"[40, 1, 13];[25, 22, 25]","[3, 3, 3, 2];[4, 3, 3, 2]",3,6,10,0.07,OPTIMAL,3,9,10,0.23,OPTIMAL,3,10,10,1.05,OPTIMAL,5,8,12,0.03,OPTIMAL,5,8,12,0.05,OPTIMAL,5,8,12,0.16,OPTIMAL
run_8,"[15, 28, 11];[19, 31, 4]","[3, 3, 3, 2];[3, 3, 3, 2]",3,8,9,0.31,OPTIMAL,2,9,8,0.59,OPTIMAL,2,9,8,27.55,OPTIMAL,5,10,11,1.17,OPTIMAL,4,12,10,2.10,OPTIMAL,3,14,9,6.24,OPTIMAL
run_9,"[7, 18, 29];[24, 17, 13]","[3, 3, 3, 2];[3, 3, 3, 2]",3,8,9,0.26,OPTIMAL,3,9,9,0.82,OPTIMAL,3,10,9,100.22,OPTIMAL,5,9,11,0.23,OPTIMAL,4,12,10,0.45,OPTIMAL,4,11,10,6.90,OPTIMAL
run_10,"[14, 9, 31];[10, 25, 37]","[3, 3, 3, 2];[4, 3, 3, 2]",2,8,9,0.29,OPTIMAL,2,10,9,1.11,OPTIMAL,2,9,9,160.08,OPTIMAL,3,8,10,0.09,OPTIMAL,2,8,9,0.13,OPTIMAL,2,9,9,5.33,OPTIMAL
