run_name,ratios,factors,MTWM_nolimit_nw,MTWM_nolimit_ops,MTWM_nolimit_nr,MTWM_nolimit_time,MTWM_nolimit_status,thesis_nolimit_nw,thesis_nolimit_ops,thesis_nolimit_nr,thesis_nolimit_time,thesis_nolimit_status,proposed_nolimit_nw,proposed_nolimit_ops,proposed_nolimit_nr,proposed_nolimit_time,proposed_nolimit_status,MTWM_limit1_nw,MTWM_limit1_ops,MTWM_limit1_nr,MTWM_limit1_time,MTWM_limit1_status,thesis_limit1_nw,thesis_limit1_ops,thesis_limit1_nr,thesis_limit1_time,thesis_limit1_status,proposed_limit1_nw,proposed_limit1_ops,proposed_limit1_nr,proposed_limit1_time,proposed_limit1_status
run_1,"[18, 11, 43];[12, 43, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,0.74,OPTIMAL,1,8,9,0.40,OPTIMAL,1,9,9,5.73,OPTIMAL,3,8,11,0.20,OPTIMAL,2,9,10,0.51,OPTIMAL,2,8,10,2.96,OPTIMAL
run_2,"[30, 35, 7];[29, 29, 14]","[4, 3, 3, 2];[4, 3, 3, 2]",2,9,10,2.32,OPTIMAL,2,12,10,38.90,OPTIMAL,2,15,10,600.55,FEASIBLE,3,9,11,1.41,OPTIMAL,2,13,10,1.56,OPTIMAL,2,11,10,132.79,OPTIMAL
run_3,"[21, 34, 17];[12, 37, 23]","[4, 3, 3, 2];[4, 3, 3, 2]",2,7,10,10.14,OPTIMAL,1,9,9,3.61,OPTIMAL,1,9,9,71.27,OPTIMAL,2,10,10,0.30,OPTIMAL,1,9,9,0.51,OPTIMAL,1,9,9,5.67,OPTIMAL
run_4,"[34, 11, 27];[6, 53, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,9,10,0.58,OPTIMAL,2,8,10,2.57,OPTIMAL,2,10,10,600.41,FEASIBLE,4,10,12,1.09,OPTIMAL,3,9,11,2.40,OPTIMAL,3,10,11,119.89,OPTIMAL
run_5,"[11, 60, 1];[38, 9, 25]","[4, 3, 3, 2];[4, 3, 3, 2]",4,8,12,0.08,OPTIMAL,3,9,11,0.16,OPTIMAL,3,9,11,0.45,OPTIMAL,5,8,13,0.03,OPTIMAL,4,9,12,0.05,OPTIMAL,4,9,12,0.13,OPTIMAL
run_6,"[11, 27, 34];[13, 17, 42]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,6.18,OPTIMAL,2,9,10,49.65,OPTIMAL,2,14,10,600.65,FEASIBLE,2,8,10,0.30,OPTIMAL,2,12,10,3.15,OPTIMAL,2,14,10,214.49,OPTIMAL
run_7,"[47, 12, 13];[27, 19, 26]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,1.37,OPTIMAL,2,12,10,7.63,OPTIMAL,2,10,10,87.45,OPTIMAL,5,9,13,1.16,OPTIMAL,2,9,10,0.83,OPTIMAL,2,10,10,3.72,OPTIMAL
run_8,"[22, 47, 3];[21, 11, 40]","[4, 3, 3, 2];[4, 3, 3, 2]",3,8,11,0.70,OPTIMAL,3,8,11,3.64,OPTIMAL,3,10,11,13.61,OPTIMAL,8,9,16,0.13,OPTIMAL,7,10,15,0.20,OPTIMAL,7,12,15,0.55,OPTIMAL
run_9,"[29, 6, 37];[5, 25, 42]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,0.16,OPTIMAL,1,10,9,0.23,OPTIMAL,1,10,9,0.55,OPTIMAL,7,8,15,0.03,OPTIMAL,7,8,15,0.05,OPTIMAL,7,8,15,0.24,OPTIMAL
run_10,"[9, 26, 37];[28, 13, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",3,9,11,4.45,OPTIMAL,2,9,10,2.63,OPTIMAL,2,9,10,73.64,OPTIMAL,4,9,12,0.55,OPTIMAL,3,11,11,2.45,OPTIMAL,3,11,11,6.56,OPTIMAL
