run_name,ratios,factors,MTWM_nolimit_nw,MTWM_nolimit_ops,MTWM_nolimit_nr,MTWM_nolimit_time,MTWM_nolimit_status,thesis_nolimit_nw,thesis_nolimit_ops,thesis_nolimit_nr,thesis_nolimit_time,thesis_nolimit_status,proposed_nolimit_nw,proposed_nolimit_ops,proposed_nolimit_nr,proposed_nolimit_time,proposed_nolimit_status,MTWM_limit1_nw,MTWM_limit1_ops,MTWM_limit1_nr,MTWM_limit1_time,MTWM_limit1_status,thesis_limit1_nw,thesis_limit1_ops,thesis_limit1_nr,thesis_limit1_time,thesis_limit1_status,proposed_limit1_nw,proposed_limit1_ops,proposed_limit1_nr,proposed_limit1_time,proposed_limit1_status
run_1,"[18, 11, 43];[12, 43, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",2,9,10,0.65,OPTIMAL,1,8,9,0.39,OPTIMAL,1,8,9,55.97,OPTIMAL,3,8,11,0.20,OPTIMAL,2,9,10,0.39,OPTIMAL,2,9,10,9.05,OPTIMAL
run_2,"[30, 35, 7];[29, 29, 14]","[4, 3, 3, 2];[4, 3, 3, 2]",2,9,10,1.78,OPTIMAL,2,11,10,24.96,OPTIMAL,2,15,10,600.49,FEASIBLE,3,9,11,1.06,OPTIMAL,2,12,10,1.71,OPTIMAL,2,11,10,600.59,FEASIBLE
run_3,"[21, 34, 17];[12, 37, 23]","[4, 3, 3, 2];[4, 3, 3, 2]",2,7,10,7.39,OPTIMAL,1,10,9,3.97,OPTIMAL,1,9,9,458.98,OPTIMAL,2,10,10,0.20,OPTIMAL,1,11,9,0.69,OPTIMAL,1,9,9,9.40,OPTIMAL
run_4,"[34, 11, 27];[6, 53, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,0.50,OPTIMAL,2,7,10,2.36,OPTIMAL,2,10,10,600.46,FEASIBLE,4,11,12,1.35,OPTIMAL,3,9,11,1.77,OPTIMAL,2,9,10,118.22,OPTIMAL
run_5,"[11, 60, 1];[38, 9, 25]","[4, 3, 3, 2];[4, 3, 3, 2]",4,8,12,0.10,OPTIMAL,3,9,11,0.17,OPTIMAL,3,9,11,0.69,OPTIMAL,5,8,13,0.03,OPTIMAL,4,8,12,0.04,OPTIMAL,4,9,12,0.22,OPTIMAL
run_6,"[11, 27, 34];[13, 17, 42]","[4, 3, 3, 2];[4, 3, 3, 2]",2,9,10,4.86,OPTIMAL,2,9,10,48.74,OPTIMAL,2,16,10,601.35,FEASIBLE,2,8,10,0.49,OPTIMAL,2,10,10,3.90,OPTIMAL,2,14,10,600.50,FEASIBLE
run_7,"[47, 12, 13];[27, 19, 26]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,1.17,OPTIMAL,2,12,10,11.31,OPTIMAL,2,10,10,600.48,FEASIBLE,5,9,13,1.15,OPTIMAL,2,10,10,1.00,OPTIMAL,2,12,10,16.31,OPTIMAL
run_8,"[22, 47, 3];[21, 11, 40]","[4, 3, 3, 2];[4, 3, 3, 2]",3,8,11,0.77,OPTIMAL,3,8,11,3.91,OPTIMAL,3,8,11,35.25,OPTIMAL,8,9,16,0.13,OPTIMAL,7,11,15,0.17,OPTIMAL,7,12,15,0.62,OPTIMAL
run_9,"[29, 6, 37];[5, 25, 42]","[4, 3, 3, 2];[4, 3, 3, 2]",2,8,10,0.15,OPTIMAL,1,9,9,0.19,OPTIMAL,1,10,9,0.93,OPTIMAL,7,8,15,0.03,OPTIMAL,7,8,15,0.08,OPTIMAL,7,8,15,0.31,OPTIMAL
run_10,"[9, 26, 37];[28, 13, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",3,8,11,3.88,OPTIMAL,2,8,10,5.08,OPTIMAL,2,8,10,600.33,FEASIBLE,4,9,12,0.63,OPTIMAL,3,10,11,2.60,OPTIMAL,3,11,11,22.22,OPTIMAL
run_11,"[51, 8, 13];[19, 15, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",3,9,11,1.89,OPTIMAL,2,9,10,2.88,OPTIMAL,2,9,10,164.08,OPTIMAL,5,9,13,0.77,OPTIMAL,3,11,11,1.10,OPTIMAL,3,11,11,13.57,OPTIMAL
run_12,"[34, 35, 3];[52, 3, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",4,8,12,7.09,OPTIMAL,4,9,12,57.72,OPTIMAL,4,16,12,601.48,FEASIBLE,5,10,13,4.95,OPTIMAL,4,9,12,2.20,OPTIMAL,4,11,12,338.72,OPTIMAL
run_13,"[7, 8, 57];[20, 1, 51]","[4, 3, 3, 2];[4, 3, 3, 2]",3,8,11,0.06,OPTIMAL,2,8,10,0.10,OPTIMAL,2,8,10,0.32,OPTIMAL,5,8,13,0.03,OPTIMAL,4,9,12,0.04,OPTIMAL,4,9,12,0.19,OPTIMAL
run_14,"[49, 1, 22];[33, 38, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",5,8,13,0.05,OPTIMAL,5,8,13,0.11,OPTIMAL,5,9,13,0.56,OPTIMAL,9,8,17,0.03,OPTIMAL,8,9,16,0.04,OPTIMAL,8,8,16,0.17,OPTIMAL
