run_name,ratios,factors,MTWM_nolimit_nw,MTWM_nolimit_ops,MTWM_nolimit_nr,MTWM_nolimit_time,MTWM_nolimit_status,thesis_nolimit_nw,thesis_nolimit_ops,thesis_nolimit_nr,thesis_nolimit_time,thesis_nolimit_status,proposed_nolimit_nw,proposed_nolimit_ops,proposed_nolimit_nr,proposed_nolimit_time,proposed_nolimit_status,MTWM_limit1_nw,MTWM_limit1_ops,MTWM_limit1_nr,MTWM_limit1_time,MTWM_limit1_status,thesis_limit1_nw,thesis_limit1_ops,thesis_limit1_nr,thesis_limit1_time,thesis_limit1_status,proposed_limit1_nw,proposed_limit1_ops,proposed_limit1_nr,proposed_limit1_time,proposed_limit1_status
run_1,"[18, 11, 43];[7, 28, 1];[2, 1, 33]","[4, 3, 3, 2];[4, 3, 3];[4, 3, 3]",6,9,18,0.05,OPTIMAL,6,9,18,0.06,OPTIMAL,6,9,18,0.25,OPTIMAL,9,10,21,0.03,OPTIMAL,9,10,21,0.03,OPTIMAL,9,10,21,0.14,OPTIMAL
run_2,"[2, 31, 3];[13, 22, 1];[18, 11, 7]","[4, 3, 3];[4, 3, 3];[4, 3, 3]",3,9,15,0.24,OPTIMAL,2,11,14,0.55,OPTIMAL,2,11,14,0.63,OPTIMAL,4,8,16,0.06,OPTIMAL,3,10,15,0.10,OPTIMAL,3,10,15,0.09,OPTIMAL
run_3,"[6, 1, 29];[7, 18, 11];[45, 1, 26]","[4, 3, 3];[4, 3, 3];[4, 3, 3, 2]",8,10,20,0.03,OPTIMAL,7,11,19,0.04,OPTIMAL,7,11,19,0.14,OPTIMAL,9,10,21,0.02,OPTIMAL,9,11,21,0.03,OPTIMAL,9,11,21,0.12,OPTIMAL
run_4,"[59, 10, 3];[8, 17, 29];[6, 13, 17]","[4, 3, 3, 2];[3, 3, 3, 2];[4, 3, 3]",4,11,15,0.58,OPTIMAL,4,11,15,3.47,OPTIMAL,4,12,15,600.93,FEASIBLE,7,12,18,2.38,OPTIMAL,6,14,17,5.65,OPTIMAL,5,15,16,601.91,FEASIBLE
run_5,"[9, 16, 47];[11, 27, 34];[7, 8, 39]","[4, 3, 3, 2];[4, 3, 3, 2];[3, 3, 3, 2]",1,11,12,247.14,OPTIMAL,1,13,12,600.15,FEASIBLE,1,10,12,601.73,FEASIBLE,1,11,12,2.60,OPTIMAL,1,12,12,21.39,OPTIMAL,1,11,12,600.90,FEASIBLE
run_6,"[24, 17, 13];[11, 13, 30];[14, 9, 31]","[3, 3, 3, 2];[3, 3, 3, 2];[3, 3, 3, 2]",2,10,11,14.84,OPTIMAL,2,10,11,147.57,OPTIMAL,3,16,12,600.71,FEASIBLE,4,12,13,106.02,OPTIMAL,3,14,12,10.86,OPTIMAL,3,17,12,600.63,FEASIBLE
run_7,"[32, 37, 3];[11, 19, 24];[35, 14, 23]","[4, 3, 3, 2];[3, 3, 3, 2];[4, 3, 3, 2]",1,12,12,4.57,OPTIMAL,1,10,12,20.01,OPTIMAL,1,16,12,600.62,FEASIBLE,3,13,14,5.46,OPTIMAL,2,14,13,4.87,OPTIMAL,2,15,13,254.48,OPTIMAL
run_8,"[29, 13, 30];[5, 36, 31];[35, 17, 20]","[4, 3, 3, 2];[4, 3, 3, 2];[4, 3, 3, 2]",1,11,13,354.87,OPTIMAL,1,12,13,600.15,FEASIBLE,1,13,13,601.60,FEASIBLE,2,13,14,58.62,OPTIMAL,1,12,13,59.62,OPTIMAL,1,17,13,600.73,FEASIBLE
run_9,"[14, 7, 15];[9, 8, 19];[32, 37, 3]","[4, 3, 3];[4, 3, 3];[4, 3, 3, 2]",4,10,16,0.24,OPTIMAL,4,13,16,0.57,OPTIMAL,3,12,15,3.94,OPTIMAL,5,11,17,0.17,OPTIMAL,4,12,16,0.30,OPTIMAL,4,12,16,0.54,OPTIMAL
run_10,"[32, 1, 21];[7, 5, 60];[15, 5, 52]","[3, 3, 3, 2];[4, 3, 3, 2];[4, 3, 3, 2]",3,10,14,7.74,OPTIMAL,2,14,13,9.89,OPTIMAL,2,14,13,557.05,OPTIMAL,4,14,15,4.55,OPTIMAL,3,14,14,6.41,OPTIMAL,3,15,14,161.22,OPTIMAL
